round,turn,player,source_type,source_index,color,dest_type,dest_row,total,visits,value,avg,h_floor_action,h_first_player_marker,h_line_progress,h_ev_row,h_ev_col,h_adjacency
1,1,0,factory,3,black,pattern_line,1,3.2500,7,8.0000,1.1429,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
1,2,1,factory,0,blue,pattern_line,0,3.2500,7,7.0000,1.0000,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
1,3,0,factory,4,blue,pattern_line,3,1.3446,9,10.0000,1.1111,0.0000,0.0000,0.0946,0.1450,0.1051,1.0000
1,4,1,factory,2,blue,pattern_line,1,3.2500,16,14.0000,0.8750,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
1,5,0,factory,1,yellow,pattern_line,0,3.2500,196,991.0000,5.0561,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
1,6,1,center,,black,pattern_line,3,4.1500,259,713.0000,2.7529,0.0000,0.9000,2.0000,0.1450,0.1051,1.0000
1,7,0,center,,red,pattern_line,2,3.2500,292,1746.0000,5.9795,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
1,8,1,center,,green,pattern_line,4,3.2500,294,-882.0000,-3.0000,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
2,1,1,factory,0,yellow,pattern_line,1,8.1334,51,200.0000,3.9216,0.0000,0.0000,2.0000,0.6660,1.4673,4.0000
2,2,0,factory,4,green,pattern_line,1,1.9076,26,7.0000,0.2692,0.0000,0.0000,0.1365,0.6660,0.1051,1.0000
2,3,1,factory,3,green,pattern_line,0,8.1334,75,554.0000,7.3867,0.0000,0.0000,2.0000,0.6660,1.4673,4.0000
2,4,0,factory,2,blue,pattern_line,0,4.7711,198,803.0000,4.0556,0.0000,0.0000,2.0000,0.6660,0.1051,2.0000
2,5,1,factory,1,red,pattern_line,3,6.2563,224,3537.0000,15.7902,0.0000,0.0000,0.1229,0.6660,1.4673,4.0000
2,6,0,center,,yellow,pattern_line,4,2.1500,280,1774.0000,6.3357,0.0000,0.9000,0.0000,0.1450,0.1051,1.0000
2,7,1,center,,red,pattern_line,3,8.1334,282,3912.0000,13.8723,0.0000,0.0000,2.0000,0.6660,1.4673,4.0000
2,8,0,center,,black,floor,,0.0300,293,-28.0000,-0.0956,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,1,center,,blue,pattern_line,4,4.7711,297,3564.0000,12.0000,0.0000,0.0000,2.0000,0.6660,0.1051,2.0000
3,1,0,factory,0,black,pattern_line,2,3.4650,75,-976.0000,-13.0133,0.0000,0.0000,0.2444,0.6660,0.5545,2.0000
3,2,1,factory,4,red,pattern_line,0,6.7302,32,573.0000,17.9062,0.0000,0.0000,2.0000,1.6252,0.1051,3.0000
3,3,0,factory,1,black,pattern_line,0,4.7302,42,-636.0000,-15.1429,0.0000,0.0000,2.0000,1.6252,0.1051,1.0000
3,4,1,factory,2,red,pattern_line,4,10.3019,24,458.0000,19.0833,0.0000,0.0000,0.0000,1.6252,3.6768,5.0000
3,5,0,factory,3,yellow,pattern_line,4,3.2500,272,-55.0000,-0.2022,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
3,6,1,center,,red,pattern_line,4,13.2019,257,7041.0000,27.3969,0.0000,0.9000,2.0000,1.6252,3.6768,5.0000
3,7,0,center,,black,pattern_line,2,5.2206,294,-1919.0000,-6.5272,0.0000,0.0000,2.0000,0.6660,0.5545,2.0000
3,8,1,center,,green,pattern_line,1,6.7302,290,8091.0000,27.9000,0.0000,0.0000,2.0000,1.6252,0.1051,3.0000
3,9,0,center,,yellow,floor,,0.5000,281,-4241.0000,-15.0925,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
3,10,1,center,,blue,pattern_line,2,3.2500,285,6840.0000,24.0000,0.0000,0.0000,2.0000,0.1450,0.1051,1.0000
4,1,1,factory,1,black,pattern_line,0,9.7154,51,1726.0000,33.8431,0.0000,0.0000,2.0000,3.6103,0.1051,4.0000
4,2,0,factory,3,green,pattern_line,1,3.7711,71,-1831.0000,-25.7887,0.0000,0.0000,2.0000,0.6660,0.1051,1.0000
4,3,1,center,,yellow,pattern_line,3,15.2019,145,5041.0000,34.7655,0.0000,0.9000,2.0000,1.6252,3.6768,7.0000
4,4,0,factory,4,red,pattern_line,4,1.7711,220,-4851.0000,-22.0500,0.0000,0.0000,0.0000,0.6660,0.1051,1.0000
4,5,1,factory,0,black,pattern_line,1,10.1648,217,10180.0000,46.9124,0.0000,0.0000,2.0000,3.6103,0.5545,4.0000
4,6,0,center,,red,pattern_line,0,7.7154,261,-6620.0000,-25.3640,0.0000,0.0000,2.0000,3.6103,0.1051,2.0000
4,7,1,center,,green,pattern_line,2,2.8322,277,11984.0000,43.2635,0.0000,0.0000,0.0611,0.6660,0.1051,2.0000
4,8,0,factory,2,green,pattern_line,2,4.0925,290,-8140.0000,-28.0690,0.0000,0.0000,0.0000,1.6252,1.4673,1.0000
4,9,1,center,,yellow,pattern_line,4,4.7154,298,11314.0000,37.9664,0.0000,0.0000,0.0000,3.6103,0.1051,1.0000
4,10,0,center,,blue,pattern_line,3,5.6123,299,-9867.0000,-33.0000,0.0000,0.0000,2.0000,0.1450,1.4673,2.0000
5,1,1,factory,3,yellow,pattern_line,0,15.4673,134,5348.0000,39.9104,0.0000,0.0000,2.0000,5.0000,1.4673,7.0000
5,2,0,factory,4,green,pattern_line,0,12.1051,118,-3930.0000,-33.3051,0.0000,0.0000,2.0000,5.0000,0.1051,5.0000
5,3,1,factory,1,red,pattern_line,1,14.5545,257,14475.0000,56.3230,0.0000,0.0000,2.0000,5.0000,0.5545,7.0000
5,4,0,factory,0,green,pattern_line,2,10.3019,233,-6277.0000,-26.9399,0.0000,0.0000,2.0000,1.6252,3.6768,3.0000
5,5,1,factory,2,green,pattern_line,2,5.2206,273,15466.0000,56.6520,0.0000,0.0000,2.0000,0.6660,0.5545,2.0000
5,6,0,center,,blue,pattern_line,1,6.0035,276,-7980.0000,-28.9130,0.0000,0.2732,2.0000,1.6252,0.1051,2.0000
5,7,1,center,,red,floor,,0.0300,292,15361.0000,52.6062,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000
5,8,0,center,,green,floor,,0.0300,295,-11241.0000,-38.1051,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000
5,9,1,center,,yellow,pattern_line,4,7.1648,298,15776.0000,52.9396,0.0000,0.0000,2.0000,3.6103,0.5545,1.0000
5,10,0,center,,black,pattern_line,3,3.7711,299,-13156.0000,-44.0000,0.0000,0.0000,2.0000,0.6660,0.1051,1.0000
